ID,BILSECPR,BILPHPR,PANSECPR,PANPHPR,DOSE,BILSECPT,BILPHPT,PANSECPT,PANPHPT,HORMONE
1,0.00,0.00,25.00,7.00,0,3.00,0.00,10.00,7.40,1
1,14.30,0.00,0.20,0.00,0,5.00,0.00,6.00,0.00,1
1,0.00,0.00,6.00,7.60,0,0.00,0.00,0.10,7.20,1
31,95.00,8.10,0.00,0.00,0,103.00,8.20,0.00,0.00,1
31,40.00,8.40,0.00,0.00,0,40.00,8.40,0.00,0.00,1
29,25.00,8.60,0.00,0.00,0,17.50,8.70,0.00,0.00,1
25,0.00,0.00,20.00,8.20,0,1.20,0.00,10.00,8.40,1
25,0.10,0.00,20.00,8.40,0,10.00,0.00,12.50,8.30,1
23,35.00,8.40,0.00,0.00,0,40.00,8.50,0.00,0.00,1
23,0.00,0.00,0.00,0.00,0,30.00,8.40,0.00,0.00,1
40,1.80,0.00,0.00,0.00,0,3.70,0.00,0.00,0.00,1
35,7.40,0.00,0.00,0.00,0,5.00,0.00,0.00,0.00,1
35,0.00,0.00,2.30,8.60,0,0.00,0.00,1.40,8.60,1
35,0.40,0.00,0.00,0.00,0,12.00,8.40,0.50,9.50,1
39,10.00,0.00,0.00,0.00,0,10.00,0.00,1.40,8.10,1
39,13.50,0.00,0.00,0.00,0,12.50,8.60,4.00,8.40,1
39,21.00,0.00,3.00,8.60,0,20.50,8.30,3.00,8.80,1
41,4.80,0.00,0.00,0.00,0,2.20,0.00,0.20,8.50,1
41,18.50,0.00,0.00,0.00,0,5.00,0.00,0.00,0.00,1
43,5.40,0.00,0.00,0.00,0,2.10,0.00,0.00,0.00,1
42,4.50,0.00,2.70,8.70,0,0.30,0.00,0.30,8.80,1
44,6.60,0.00,0.00,0.00,0,6.30,0.00,0.00,0.00,1
44,7.20,0.00,0.00,0.00,0,0.60,0.00,0.00,0.00,1
34,2.60,0.00,0.00,0.00,0,0.50,0.00,0.00,0.00,1
49,0.00,0.00,0.00,0.00,0,0.60,0.00,0.00,0.00,1
49,9.60,0.00,0.00,0.00,0,2.30,0.00,0.00,0.00,1
32,23.00,8.10,0.00,0.00,0,27.50,8.40,0.00,0.00,1
32,20.00,0.00,0.00,0.00,0,16.30,0.00,0.00,0.00,1
45,2.50,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,1
47,0.00,0.00,0.80,8.00,0,0.00,0.00,0.00,0.00,1
1,3.00,6.80,16.00,7.30,15,2.00,7.00,5.00,7.20,2
1,2.30,7.40,27.00,7.40,15,1.00,6.80,5.00,7.50,2
1,10.00,7.00,10.00,7.20,15,0.00,0.00,5.00,7.40,2
2,2.80,0.00,0.00,0.00,15,0.00,0.00,0.00,0.00,2
2,6.00,6.80,3.00,7.20,15,0.00,0.00,0.00,0.00,2
2,0.00,0.00,0.10,7.00,15,0.00,0.00,0.00,0.00,2
2,3.40,6.50,0.10,6.90,15,4.00,6.40,0.00,0.00,2
3,2.10,6.80,0.00,0.00,15,1.70,6.90,0.00,0.00,2
3,0.00,0.00,6.30,7.80,15,0.00,0.00,1.20,7.60,2
4,0.70,7.40,0.00,0.00,15,0.40,7.20,0.00,0.00,2
5,10.00,7.00,6.30,7.60,15,10.00,6.80,5.00,8.00,2
5,0.00,0.00,0.60,7.80,15,0.00,0.00,0.00,0.00,2
6,2.30,6.80,1.90,8.00,15,3.00,6.80,1.20,8.00,2
9,0.90,7.40,0.00,0.00,15,2.00,6.80,0.00,0.00,2
22,4.10,0.00,0.00,0.00,15,0.50,0.00,0.00,0.00,2
24,15.00,0.00,1.80,0.00,15,10.00,0.00,2.40,0.00,2
24,9.70,0.00,7.70,8.80,15,5.00,0.00,0.00,0.00,2
30,7.70,0.00,0.00,0.00,15,2.40,0.00,0.00,0.00,2
23,5.70,0.00,0.00,0.00,7.5,5.00,0.00,0.00,0.00,2
43,0.00,0.00,4.90,8.90,7.5,0.00,0.00,1.00,8.60,2
39,3.00,0.00,0.00,0.00,7.5,2.20,0.00,0.70,8.50,2
36,0.00,0.00,7.60,9.00,7.5,0.00,0.00,1.20,9.00,2
32,6.30,0.00,2.90,9.00,7.5,4.20,0.00,0.00,0.00,2
32,9.00,0.00,0.00,0.00,15,9.00,0.00,0.00,0.00,2
32,2.60,0.00,1.40,8.90,7.5,1.10,0.00,1.10,8.40,2
32,0.00,0.00,3.80,8.40,7.5,0.00,0.00,0.00,0.00,2
32,0.00,0.00,2.40,8.90,7.5,0.00,0.00,0.00,0.00,2
34,3.40,0.00,1.60,9.10,15,6.30,0.00,0.00,0.00,2
34,2.00,0.00,0.00,0.00,7.5,1.80,0.00,0.00,0.00,2
44,0.00,0.00,0.00,0.00,15,0.00,0.00,0.50,8.90,2
62,0.00,0.00,1.50,9.20,7.5,0.00,0.00,0.70,8.90,2
63,0.00,0.00,1.80,8.80,7.5,0.00,0.00,1.20,9.00,2
64,6.10,0.00,0.00,0.00,7.5,4.00,0.00,0.00,0.00,2
64,2.90,0.00,0.00,0.00,7.5,2.50,0.00,0.00,0.00,2
65,1.40,0.00,0.00,0.00,7.5,2.80,0.00,0.00,0.00,2
9,0.02,0.00,0.00,0.00,0.4,0.02,7.00,0.00,0.00,3
15,0.02,0.00,0.00,0.00,0.4,0.02,0.00,0.00,0.00,3
12,8.00,0.00,0.00,0.00,0.4,33.00,0.00,0.00,0.00,3
56,0.00,0.00,2.30,0.00,0.1,6.80,0.00,0.00,0.00,3
19,23.50,0.00,0.00,0.00,0.1,16.30,8.60,0.00,0.00,3
19,0.00,0.00,0.00,0.00,0.2,0.00,0.00,0.20,0.00,3
18,15.00,0.00,0.00,0.00,0.2,12.50,8.60,0.00,0.00,3
18,35.00,8.50,0.00,0.00,0.8,37.50,8.40,0.00,0.00,3
56,0.00,0.00,2.30,0.00,0.1,6.80,0.00,0.00,0.00,3
56,2.00,0.00,0.00,0.00,0.8,6.30,0.00,0.00,0.00,3
60,0.00,0.00,0.00,0.00,0.1,3.40,0.00,1.90,8.60,3
60,5.00,0.00,2.40,8.60,0.1,5.00,0.00,1.30,8.60,3
19,0.00,0.00,0.00,0.00,0.2,0.00,0.00,0.20,0.00,3
20,5.00,0.00,0.00,0.00,0.2,10.00,0.00,0.00,0.00,3
20,13.00,0.00,0.00,0.00,0.8,7.50,0.00,0.00,0.00,3
20,10.30,0.00,7.50,0.00,0.1,1.90,0.00,4.70,8.00,3
20,0.00,0.00,0.00,0.00,0.1,0.80,0.00,0.00,0.00,3
20,2.70,0.00,0.00,0.00,0.05,5.00,0.00,0.00,0.00,3
20,4.60,0.00,0.00,0.00,0.05,1.30,0.00,0.00,0.00,3
20,4.00,0.00,0.00,0.00,0.05,0.60,0.00,0.00,0.00,3
20,8.70,0.00,0.00,0.00,0.8,27.50,8.70,0.00,0.00,3
21,0.00,0.00,0.00,0.00,0.2,5.00,0.00,0.30,0.00,3
21,20.00,0.00,0.00,0.00,0.8,20.00,0.00,0.00,0.00,3
21,4.10,0.00,0.00,0.00,0.1,1.60,0.00,0.00,0.00,3
21,50.00,8.70,0.00,0.00,0.1,37.50,8.20,0.00,0.00,3
21,65.00,8.40,0.00,0.00,0.05,55.00,8.40,3.10,9.10,3
21,3.20,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,3
21,7.80,0.00,0.00,0.00,0.05,2.70,0.00,0.90,8.10,3
21,0.00,0.00,0.00,0.00,0.8,22.50,8.30,0.00,0.00,3
22,3.50,0.00,0.00,0.00,0.4,12.50,0.00,0.00,0.00,3
22,25.00,0.00,0.00,0.00,0.8,10.00,8.70,0.00,0.00,3
22,28.00,8.40,0.00,0.00,0.8,27.50,8.50,0.00,0.00,3
24,27.50,0.00,2.40,9.40,0.4,35.00,8.40,1.20,9.00,3
24,34.00,8.40,0.00,0.00,0.8,55.00,8.40,0.00,0.00,3
30,2.50,0.00,1.60,8.90,0.8,17.50,8.70,1.70,8.80,3
30,3.70,0.00,0.00,0.00,0.8,24.00,8.40,0.00,0.00,3
30,0.00,0.00,0.00,0.00,0.8,4.80,0.00,0.00,0.00,3
30,0.00,0.00,0.00,0.00,0.4,60.00,8.60,0.00,0.00,3
30,0.00,0.00,2.60,0.00,0.4,7.00,0.00,1.30,8.80,3
59,7.00,0.00,2.70,8.50,0.8,22.50,8.60,3.50,8.80,3
59,1.90,0.00,0.00,0.00,0.8,17.00,8.60,0.00,0.00,3
26,10.00,0.00,0.00,0.00,0.2,0.80,0.00,0.00,0.00,3
31,45.00,8.60,0.00,0.00,0.2,32.50,8.50,0.00,0.00,3
31,9.40,0.00,0.00,0.00,0.2,5.00,0.00,0.00,0.00,3
31,50.00,8.10,0.00,0.00,0.2,30.00,8.10,0.00,0.00,3
31,0.00,0.00,0.00,0.00,0.8,150.00,8.10,0.00,0.00,3
25,6.50,0.00,10.00,8.50,0.8,15.00,8.60,12.50,8.20,3
25,0.80,0.00,10.00,8.10,0.8,1.10,0.00,2.80,8.10,3
23,35.00,8.40,0.00,0.00,0.8,35.00,8.50,0.00,0.00,3
23,45.00,8.50,0.00,0.00,0.8,62.50,8.30,0.00,0.00,3
23,30.00,8.80,0.00,0.00,0.8,30.00,8.40,0.00,0.00,3
40,2.20,0.00,0.00,0.00,0.2,7.50,0.00,0.00,0.00,3
35,1.70,0.00,0.00,0.00,0.8,2.40,0.00,0.00,0.00,3
41,10.00,0.00,0.00,0.00,0.8,20.00,8.60,0.00,0.00,3
41,17.50,0.00,0.00,0.00,3.2,29.80,8.50,0.00,0.00,3
41,27.50,0.00,0.00,0.00,3.2,32.00,8.50,0.00,0.00,3
41,25.00,8.70,0.00,0.00,3.2,42.50,8.30,0.00,0.00,3
41,17.50,0.00,0.00,0.00,3.2,45.00,8.20,0.00,0.00,3
41,10.00,0.00,0.00,0.00,0.4,18.80,8.40,0.00,0.00,3
43,3.50,0.00,0.00,0.00,0.8,5.00,0.00,0.30,8.30,3
42,3.90,0.00,0.00,0.00,3.2,14.80,9.10,1.30,8.90,3
42,13.50,0.00,0.00,0.00,3.2,30.00,8.50,0.00,0.00,3
42,11.40,0.00,0.00,0.00,3.2,38.50,8.50,0.00,0.00,3
42,0.00,0.00,0.00,0.00,3.2,22.50,8.50,0.00,0.00,3
42,0.00,0.00,0.00,0.00,0.4,0.30,0.00,0.00,0.00,3
39,17.00,0.00,0.00,0.00,3.2,36.30,8.60,0.00,0.00,3
39,11.00,0.00,0.00,0.00,3.2,16.50,0.00,0.00,0.00,3
39,0.00,0.00,0.00,0.00,3.2,35.00,8.50,0.60,8.00,3
39,30.00,8.60,0.00,0.00,3.2,37.00,8.50,0.00,0.00,3
39,26.50,8.20,0.00,0.00,3.2,42.50,8.50,0.00,0.00,3
38,4.00,0.00,0.00,0.00,3.2,25.00,0.00,2.70,8.10,3
38,3.60,0.00,0.00,0.00,3.2,21.30,8.70,0.00,0.00,3
38,0.00,0.00,1.00,9.00,0.4,0.00,0.00,1.30,9.40,3
38,0.00,0.00,0.00,0.00,0.2,3.50,0.00,0.00,0.00,3
38,0.00,0.00,0.00,0.00,0.2,0.90,0.00,0.00,0.00,3
34,1.20,0.00,0.00,0.00,0.4,7.00,0.00,0.00,0.00,3
34,15.00,0.00,1.50,9.20,3.2,23.50,8.80,1.00,9.20,3
32,11.00,0.00,0.00,0.00,3.2,30.00,8.50,0.00,0.00,3
32,24.00,0.00,0.00,0.00,3.2,42.50,8.50,0.00,0.00,3
32,8.00,0.00,0.00,0.00,0.4,12.50,8.10,0.00,0.00,3
32,52.50,8.40,6.70,8.80,0.2,42.50,8.40,0.00,0.00,3
32,34.00,0.00,0.00,0.00,0.2,20.00,8.70,4.50,8.90,3
32,40.00,8.40,2.00,8.90,3.2,1.00,0.00,1.10,8.70,3
32,35.00,8.40,0.00,0.00,0.4,22.50,8.60,0.00,0.00,3
32,7.80,0.00,0.00,0.00,0.2,5.90,0.00,0.00,0.00,3
32,0.00,0.00,4.90,8.70,0.2,0.00,0.00,9.50,8.60,3
32,0.00,0.00,8.10,8.40,3.2,0.00,0.00,7.00,8.40,3
32,0.00,0.00,0.30,9.20,0.4,0.00,0.00,0.00,0.00,3
32,0.00,0.00,4.50,8.80,3.2,0.00,0.00,0.40,9.20,3
32,0.00,0.00,4.80,8.40,3.2,0.00,0.00,0.60,8.80,3
44,20.00,0.00,0.00,0.00,0.4,20.00,8.60,0.00,0.00,3
44,0.00,0.00,0.00,0.00,0.2,10.50,0.00,1.10,9.50,3
44,24.00,0.00,0.00,0.00,0.2,19.50,8.80,0.00,0.00,3
44,25.00,8.80,0.00,0.00,3.2,40.00,8.50,0.00,0.00,3
44,9.50,0.00,0.00,0.00,0.4,11.50,0.00,0.10,8.80,3
44,19.50,0.00,0.00,0.00,0.2,2.20,0.00,0.00,0.00,3
36,2.30,0.00,3.20,8.10,0.2,4.10,0.00,0.90,8.80,3
36,7.70,0.00,8.00,8.90,0.2,0.40,0.00,0.40,8.90,3
36,9.00,0.00,1.60,8.00,3.2,15.00,8.60,0.00,0.00,3
36,5.30,0.00,4.40,8.90,0.4,13.80,9.20,0.50,9.20,3
36,0.00,0.00,0.60,9.10,0.2,0.00,0.00,0.00,0.00,3
54,28.00,7.90,0.70,0.00,3.2,14.00,8.20,0.00,0.00,3
54,22.50,8.10,3.00,9.20,0.4,9.50,0.00,0.00,0.00,3
54,10.00,0.00,0.20,8.80,3.2,8.80,0.00,0.00,0.00,3
54,15.00,0.00,0.00,0.00,0.2,19.00,8.30,0.00,0.00,3
55,5.00,0.00,0.00,0.00,0.2,5.00,0.00,0.00,0.00,3
54,25.00,8.30,0.00,0.00,0.2,15.00,8.20,0.00,0.00,3
55,0.00,0.00,0.00,0.00,0.4,0.00,0.00,0.10,8.10,3
52,24.00,7.90,0.00,0.00,0.4,22.30,8.50,0.00,0.00,3
52,8.60,0.00,0.00,0.00,3.2,2.70,0.00,0.00,0.00,3
52,7.10,0.00,0.00,0.00,3.2,15.00,8.40,0.00,0.00,3
52,0.00,0.00,2.30,8.80,3.2,0.20,0.00,0.20,8.60,3
52,0.00,0.00,3.00,9.30,0.4,0.00,0.00,1.20,9.00,3
51,9.30,0.00,0.20,0.00,0.4,6.30,0.00,1.10,9.00,3
51,14.50,0.00,0.00,0.00,3.2,15.00,8.50,0.00,0.00,3
51,4.50,0.00,0.00,0.00,3.2,0.00,0.00,0.00,0.00,3
51,0.80,0.00,1.00,8.90,3.2,1.50,0.00,0.00,0.00,3
62,6.40,0.00,0.00,0.00,0.4,6.50,0.00,0.70,8.00,3
62,0.00,0.00,0.50,8.80,3.2,0.00,0.00,0.60,8.80,3
63,1.20,0.00,0.00,0.00,3.2,7.80,0.00,1.20,9.00,3
63,12.50,0.00,0.00,0.00,3.2,0.50,0.00,2.50,8.80,3
63,7.40,0.00,2.50,8.80,3.2,0.00,0.00,2.10,8.80,3
63,24.00,7.80,2.00,8.80,3.2,11.00,8.10,0.00,0.00,3
64,4.40,0.00,0.00,0.00,3.2,3.00,0.00,0.00,0.00,3
64,6.80,0.00,0.00,0.00,3.2,6.80,0.00,0.00,0.00,3
64,9.10,0.00,0.00,0.00,3.2,9.00,0.00,0.00,0.00,3
64,10.00,0.00,0.00,0.00,3.2,5.30,0.00,0.00,0.00,3
64,20.00,0.00,0.00,0.00,3.2,0.40,0.00,0.00,0.00,3
64,19.00,0.00,0.00,0.00,3.2,0.00,0.00,0.00,0.00,3
65,4.00,0.00,0.00,0.00,3.2,6.30,0.00,0.00,0.00,3
65,8.40,0.00,0.00,0.00,3.2,0.70,0.00,0.00,0.00,3
65,11.00,0.00,0.00,0.00,3.2,0.80,0.00,0.00,0.00,3
65,17.50,0.00,0.00,0.00,3.2,9.50,0.00,0.00,0.00,3
