ID,BILSECPR,BILPHPR,PANSECPR,PANPHPR,DOSE,BILSECPT,BILPHPT,PANSECPT,PANPHPT,HORMONE
66,15.00,0.00,0.00,0.00,3.2,15.00,8.00,0.00,0.00,3
66,7.50,0.00,0.00,0.00,3.2,8.00,0.00,0.00,0.00,3
73,4.50,0.00,4.40,0.00,3.2,23.80,8.40,0.20,7.80,3
73,0.00,0.00,0.30,9.00,3.2,0.00,0.00,0.30,9.00,3
74,10.50,0.00,0.00,0.00,3.2,13.80,7.90,0.00,0.00,3
74,13.00,0.00,0.00,0.00,3.2,5.00,0.00,0.00,0.00,3
74,5.70,0.00,0.00,0.00,3.2,6.30,0.00,0.00,0.00,3
74,6.10,0.00,0.00,0.00,0.4,9.00,0.00,0.00,0.00,3
75,25.00,7.30,0.00,0.00,3.2,17.50,8.30,0.00,0.00,3
75,29.50,8.30,0.00,0.00,3.2,7.80,0.00,0.00,0.00,3
75,8.80,0.00,0.00,0.00,3.2,0.00,0.00,0.00,0.00,3
75,2.90,0.00,0.00,0.00,0.4,13.80,7.90,0.00,0.00,3
76,27.50,8.20,0.00,0.00,0.8,28.80,8.60,0.00,0.00,3
76,6.70,0.00,0.00,0.00,0.8,7.50,0.00,0.00,0.00,3
68,0.00,0.00,0.00,0.00,0.8,0.00,0.00,1.60,7.90,3
77,7.20,0.00,0.00,0.00,0.8,6.30,0.00,0.00,0.00,3
77,7.20,0.00,0.00,0.00,0.8,16.80,7.90,0.00,0.00,3
77,15.00,0.00,0.00,0.00,0.8,12.50,8.20,0.00,0.00,3
78,9.00,0.00,0.00,0.00,0.8,15.00,8.10,0.00,0.00,3
78,1.30,0.00,0.00,0.00,0.8,4.50,0.00,0.00,0.00,3
78,25.00,8.30,0.00,0.00,0.1,10.00,0.00,0.00,0.00,3
78,30.00,8.90,0.00,0.00,0.1,25.00,8.60,0.00,0.00,3
78,1.30,0.00,0.00,0.00,0.1,0.00,0.00,0.00,0.00,3
70,0.00,0.00,1.70,8.00,0.1,0.00,0.00,1.20,8.70,3
70,15.00,0.00,0.00,0.00,0.8,8.80,0.00,0.00,0.00,3
79,15.00,0.00,2.90,7.70,0.1,6.30,0.00,2.90,7.80,3
79,0.00,0.00,0.00,0.00,0.1,0.00,0.00,0.20,8.40,3
71,0.00,0.00,0.40,8.00,0.1,0.00,0.00,0.80,8.40,3
67,6.90,0.00,6.30,8.00,0.8,7.50,0.00,4.00,8.10,3
67,7.50,0.00,1.40,8.00,0.8,11.30,0.00,2.20,8.00,3
67,0.00,0.00,1.10,8.90,3.2,0.00,0.00,0.70,9.10,3
67,12.50,0.00,1.30,8.10,0.1,12.50,8.40,1.20,8.10,3
28,2.00,0.00,0.00,0.00,2.5,0.00,0.00,0.00,0.00,4
28,0.00,0.00,0.00,0.00,5,4.90,0.00,2.60,9.40,4
24,9.80,0.00,3.20,0.00,2.5,7.50,0.00,2.10,8.60,4
24,25.00,8.70,0.00,0.00,5,30.00,8.50,0.00,0.00,4
22,10.00,0.00,0.00,0.00,2.5,5.00,0.00,0.00,0.00,4
30,0.00,0.00,25.00,8.90,5,0.00,0.00,1.10,9.40,4
30,2.90,0.00,0.00,0.00,0.5,4.10,0.00,0.00,0.00,4
30,10.00,0.00,0.00,0.00,0.5,0.70,0.00,0.00,0.00,4
59,15.00,0.00,0.00,0.00,0.5,12.50,8.20,0.80,8.10,4
58,10.00,0.00,0.00,0.00,0.5,5.00,0.00,0.00,0.00,4
27,3.80,0.00,0.00,0.00,2.5,3.00,0.00,0.00,0.00,4
27,5.50,0.00,0.00,0.00,5,1.80,0.00,0.00,0.00,4
26,7.90,0.00,2.90,8.00,2.5,5.00,0.00,2.10,9.00,4
31,15.00,0.00,0.00,0.00,0.5,7.50,0.00,0.00,0.00,4
31,55.00,8.40,0.00,0.00,0.5,0.00,0.00,0.00,0.00,4
31,30.00,8.40,0.00,0.00,0.5,7.50,0.00,0.00,0.00,4
23,15.00,0.00,5.00,8.30,0.5,10.00,0.00,5.00,8.10,4
23,30.00,8.90,15.00,8.50,0.5,30.00,8.40,15.00,8.00,4
23,35.00,8.40,0.00,0.00,0.5,7.50,0.00,0.00,0.00,4
23,10.00,0.00,0.00,0.00,0.5,0.00,0.00,0.00,0.00,4
29,10.00,0.00,0.00,0.00,0.5,15.00,7.90,0.00,0.00,4
29,4.80,0.00,0.00,0.00,0.5,15.00,8.20,0.00,0.00,4
25,30.00,7.60,1.50,8.30,0.5,37.50,8.50,5.20,8.10,4
25,0.00,0.00,8.80,8.10,0.5,4.00,0.00,5.00,7.90,4
25,9.00,0.00,15.00,8.40,0.5,0.50,0.00,5.00,8.20,4
40,30.00,8.90,15.00,8.50,0.5,30.00,8.40,15.00,8.00,4
33,20.00,0.00,0.00,0.00,0.5,12.50,8.10,0.00,0.00,4
39,20.00,0.00,0.00,0.00,0.5,15.00,8.30,0.00,0.00,4
39,16.00,0.00,4.00,9.00,20,15.00,8.00,0.00,0.00,4
41,3.10,0.00,2.00,8.60,0.5,3.90,0.00,3.00,8.90,4
41,14.00,0.00,0.00,0.00,20,0.80,0.00,0.00,0.00,4
43,0.00,0.00,12.50,8.00,20,0.00,0.00,1.30,8.80,4
42,14.50,0.00,0.90,8.90,20,0.00,0.00,3.20,8.80,4
49,5.00,0.00,0.00,0.00,12.5,1.40,0.00,0.00,0.00,4
45,17.50,0.00,3.20,7.00,12.5,15.50,8.70,2.50,8.40,4
32,32.50,8.00,1.40,8.00,12.5,37.50,8.20,9.30,8.40,4
66,26.00,8.00,0.00,0.00,12.5,1.30,0.00,0.00,0.00,4
67,9.40,0.00,4.60,8.00,12.5,0.00,0.00,5.00,8.50,4
10,4.50,0.00,0.00,0.00,8,3.40,0.00,0.00,0.00,5
11,0.00,0.00,2.30,0.00,1,0.00,0.00,1.70,0.00,5
10,0.90,0.00,0.00,0.00,24,0.80,0.00,0.70,0.00,5
14,0.00,0.00,0.00,0.00,12,0.00,0.00,0.10,0.00,5
14,0.00,0.00,0.90,0.00,24,0.00,0.00,1.60,0.00,5
11,0.00,0.00,1.00,0.00,8,0.00,0.00,0.40,0.00,5
10,10.00,0.00,0.00,0.00,1,3.90,0.00,0.00,0.00,5
23,15.00,0.00,5.00,7.10,0.8,0.50,0.00,0.00,0.00,5
23,0.00,0.00,0.00,0.00,0.4,4.40,0.00,5.10,8.40,5
35,0.50,0.00,0.00,0.00,3.2,1.10,0.00,0.00,0.00,5
17,4.80,0.00,0.50,0.00,4,7.50,0.00,2.70,7.10,5
17,1.40,0.00,0.90,7.00,2,0.00,0.00,3.20,7.00,5
17,0.00,0.00,1.70,7.80,1,0.00,0.00,1.30,7.80,5
17,2.30,0.00,0.00,0.00,2,2.00,0.00,0.00,0.00,5
17,0.00,0.00,0.00,0.00,0.5,0.10,0.00,0.00,0.00,5
17,0.00,0.00,0.00,0.00,2,1.50,0.00,0.00,0.00,5
17,0.50,0.00,0.00,0.00,8,1.40,0.00,0.00,0.00,5
16,0.00,0.00,0.50,0.00,4,0.70,0.00,0.00,0.00,5
16,2.20,0.00,0.00,0.00,1,1.00,0.00,1.30,7.60,5
16,0.00,0.00,0.00,0.00,4,1.10,0.00,0.00,0.00,5
16,4.40,0.00,0.00,0.00,1,3.60,0.00,0.00,0.00,5
16,0.00,0.00,0.00,0.00,2,5.00,0.00,0.00,0.00,5
16,0.00,0.00,0.00,0.00,4,5.00,0.00,0.00,0.00,5
18,2.80,0.00,0.00,0.00,4,7.50,0.00,0.00,0.00,5
18,12.50,0.00,0.00,0.00,0.5,11.30,0.00,0.00,0.00,5
18,10.00,0.00,0.00,0.00,8,10.00,0.00,0.00,0.00,5
18,45.00,8.40,0.00,0.00,0.5,40.00,8.60,0.00,0.00,5
18,25.00,8.40,0.00,0.00,1,25.00,8.50,0.00,0.00,5
18,0.00,0.00,0.00,0.00,8,1.40,0.00,0.00,0.00,5
21,27.50,0.00,0.00,0.00,2,25.00,0.00,0.00,0.00,5
21,10.00,0.00,0.00,0.00,0.5,6.30,0.00,0.00,0.00,5
21,7.50,0.00,0.00,0.00,1,2.80,0.00,0.00,0.00,5
21,4.50,0.00,0.00,0.00,8,6.20,0.00,0.20,0.00,5
19,3.00,0.00,0.10,0.00,8,0.00,0.00,0.00,0.00,5
19,40.00,8.40,6.80,8.40,0.5,17.50,8.60,5.00,7.90,5
19,27.50,8.60,8.50,8.60,1,22.50,8.50,2.50,8.80,5
19,20.00,0.00,0.00,0.00,8,5.00,0.00,1.50,8.50,5
20,10.50,0.00,0.00,0.00,16,12.00,0.00,0.00,0.00,5
22,13.40,0.00,0.00,0.00,0.8,25.00,8.60,0.00,0.00,5
24,42.50,8.30,4.70,8.90,0.8,32.50,8.50,3.50,8.60,5
24,25.00,0.00,0.00,0.00,1.6,40.00,8.40,0.00,0.00,5
24,2.10,0.00,0.00,0.00,1.6,3.00,0.00,0.00,0.00,5
28,0.00,0.00,0.00,0.00,1.6,3.00,0.00,0.00,0.00,5
30,0.00,0.00,0.00,0.00,1.6,1.10,0.00,0.00,0.00,5
30,2.90,0.00,0.00,0.00,1.6,2.40,0.00,2.10,9.40,5
30,10.00,0.00,0.00,0.00,0.8,1.10,0.00,0.00,0.00,5
26,11.10,0.00,0.00,0.00,0.4,0.50,0.00,0.00,0.00,5
27,9.20,0.00,0.00,0.00,0.4,0.00,0.00,0.00,0.00,5
31,50.00,8.10,0.00,0.00,0.4,45.00,8.40,0.00,0.00,5
31,40.00,8.40,0.00,0.00,0.4,25.00,8.40,0.00,0.00,5
31,0.00,0.00,0.00,0.00,1.6,25.00,8.10,0.00,0.00,5
31,35.00,8.30,0.00,0.00,3.2,17.50,8.40,0.00,0.00,5
23,30.00,7.90,0.00,0.00,1.6,27.50,8.40,0.00,0.00,5
23,10.00,0.00,0.00,0.00,3.2,25.00,8.60,0.00,0.00,5
23,0.00,0.00,0.00,0.00,3.2,0.80,0.00,0.00,0.00,5
29,10.00,0.00,0.00,0.00,0.4,5.00,0.00,0.00,0.00,5
43,10.00,0.00,0.00,0.00,3.2,4.10,0.00,4.30,8.90,5
43,0.00,0.00,4.00,8.20,9.6,0.00,0.00,0.80,8.60,5
39,30.00,8.10,0.00,0.00,3.2,37.50,8.30,0.00,0.00,5
39,20.00,0.00,0.00,0.00,9.6,27.50,0.00,0.00,0.00,5
39,26.00,8.00,0.00,0.00,9.6,0.00,0.00,0.00,0.00,5
39,19.00,0.00,0.00,0.00,8,25.00,8.60,0.00,0.00,5
41,30.00,8.60,0.00,0.00,3.2,27.50,8.60,0.00,0.00,5
41,15.00,0.00,0.00,0.00,9.6,31.30,0.00,0.00,0.00,5
41,30.00,8.50,0.00,0.00,8,32.50,8.30,0.00,0.00,5
42,7.00,0.00,0.00,0.00,9.6,2.70,0.00,0.70,8.10,5
42,9.00,0.00,0.00,0.00,9.6,1.30,0.00,0.00,0.00,5
44,15.00,0.00,0.00,0.00,12,15.00,8.40,0.00,0.00,5
44,10.00,0.00,0.00,0.00,8,11.00,0.00,0.00,0.00,5
44,17.00,0.00,0.00,0.00,12,22.50,8.50,0.00,0.00,5
44,24.00,8.00,0.00,0.00,12,3.80,0.00,0.00,0.00,5
44,0.00,0.00,0.00,0.00,12,0.20,0.00,0.00,0.00,5
32,14.00,0.00,0.00,0.00,8,32.50,8.40,0.00,0.00,5
32,40.00,8.40,0.00,0.00,12,72.50,8.30,0.00,0.00,5
32,18.00,0.00,0.00,0.00,8,23.80,8.40,0.00,0.00,5
32,23.00,8.40,7.90,8.40,12,0.60,0.00,4.80,8.10,5
32,19.00,0.00,0.00,0.00,24,0.00,0.00,0.00,0.00,5
32,0.00,0.00,6.70,8.40,12,0.10,0.00,2.60,8.50,5
32,30.50,7.90,0.00,0.00,12,60.00,8.30,5.30,8.80,5
32,27.50,7.90,0.00,0.00,24,85.00,8.20,0.00,0.00,5
32,7.10,0.00,0.00,0.00,24,4.70,0.00,0.00,0.00,5
32,7.30,0.00,0.00,0.00,8,20.00,8.50,0.00,0.00,5
32,0.00,0.00,1.00,8.60,8,0.00,0.00,0.00,0.00,5
32,0.00,0.00,0.50,8.90,8,0.00,0.00,6.00,9.00,5
38,0.00,0.00,0.00,0.00,8,11.50,0.00,0.00,0.00,5
36,9.00,0.00,0.00,0.00,12,17.50,8.30,0.00,0.00,5
36,12.50,0.00,0.00,0.00,8,16.50,0.00,0.00,0.00,5
37,12.50,0.00,2.30,8.90,12,24.50,8.70,3.80,8.80,5
37,12.00,0.00,2.90,8.00,8,10.50,8.70,2.30,8.60,5
37,40.00,8.40,7.90,8.40,12,32.50,8.20,2.00,9.00,5
37,75.00,7.50,0.00,0.00,24,47.50,7.70,1.30,9.30,5
37,67.50,7.00,0.00,0.00,12,17.50,8.30,0.00,0.00,5
50,0.00,0.00,0.00,0.00,12,6.80,0.00,0.00,0.00,5
34,9.30,0.00,0.00,0.00,12,10.00,8.70,3.30,9.00,5
34,0.00,0.00,9.40,9.00,12,0.30,0.00,1.20,9.10,5
34,2.40,0.00,0.00,0.00,24,0.00,0.00,0.90,8.90,5
49,10.60,0.00,0.00,0.00,12,29.00,8.60,0.00,0.00,5
45,12.50,0.00,3.60,7.90,12,13.50,8.80,16.30,8.00,5
45,32.50,8.60,0.00,0.00,24,24.00,8.70,0.00,0.00,5
45,40.00,8.30,0.00,0.00,24,65.00,8.40,0.00,0.00,5
45,20.00,0.00,0.00,0.00,8,45.00,8.40,0.00,0.00,5
45,10.60,0.00,0.00,0.00,8,35.00,8.50,3.20,8.80,5
46,15.00,0.00,0.00,0.00,12,52.50,8.60,0.00,0.00,5
46,0.00,0.00,0.00,0.00,24,0.90,0.00,0.00,0.00,5
48,25.00,8.50,0.00,0.00,8,30.00,8.60,0.00,0.00,5
47,30.00,8.40,0.00,0.00,8,32.50,8.60,0.50,0.00,5
47,0.00,0.00,0.00,0.00,8,1.30,0.00,0.00,0.00,5
47,1.50,0.00,0.00,0.00,12,0.00,0.00,0.00,0.00,5
47,0.00,0.00,0.00,0.00,8,0.00,0.00,1.70,7.80,5
52,1.20,0.00,1.40,9.20,12,1.60,0.00,0.40,9.30,5
53,16.50,0.00,0.00,0.00,12,40.80,8.50,0.00,0.00,5
62,12.50,0.00,0.10,8.90,12,8.50,0.00,2.40,8.70,5
62,0.00,0.00,0.50,8.60,12,0.00,0.00,1.60,8.90,5
65,14.00,0.00,1.50,8.70,24,11.30,8.60,2.50,8.80,5
65,10.50,0.00,3.10,8.80,12,15.00,8.40,0.20,8.40,5
63,0.00,0.00,0.60,8.30,24,12.00,8.20,0.80,8.60,5
63,9.20,0.00,1.80,8.00,12,32.00,8.20,10.00,8.60,5
63,0.00,0.00,3.30,8.80,12,0.00,0.00,3.30,8.90,5
64,10.10,0.00,0.00,0.00,24,33.80,8.10,1.30,0.00,5
68,12.00,0.00,0.60,8.80,4,27.80,8.60,0.40,9.00,5
68,0.00,0.00,0.60,8.00,4,0.50,0.00,0.90,8.00,5
69,15.00,0.00,4.80,8.90,2,17.50,8.40,5.00,8.40,5
70,15.00,0.00,5.30,7.80,0.5,7.50,0.00,2.50,7.90,5
70,20.00,0.00,0.00,0.00,0.5,17.50,8.10,0.40,8.80,5
71,0.00,0.00,0.00,0.00,4,1.80,0.00,1.00,8.60,5
72,4.50,0.00,4.30,8.00,2,12.50,8.10,4.60,8.20,5
72,10.00,0.00,5.20,8.00,4,10.00,0.00,5.00,8.20,5
72,10.00,0.00,5.70,8.00,0.5,12.50,8.70,6.30,8.00,5
72,10.00,0.00,3.90,8.10,4,11.30,0.00,3.20,8.90,5
72,10.00,0.00,2.40,8.90,0.5,13.80,7.80,0.80,9.30,5
